applicant_id,academic_score,income_annual,employment_years,credit_score,credit_history_years,loan_amount_requested,loan_percent_income,existing_debt_ratio,prior_default_flag,documents_missing_ct,eligibility_criteria_met,loan_status,academic_score_scaled,income_annual_scaled,employment_years_scaled,credit_score_scaled,credit_history_years_scaled,loan_amount_requested_scaled,loan_percent_income_scaled,existing_debt_ratio_scaled
APP000010,83.2,77020.0,4.7,600.0,8.0,16340.0,0.212,0.26,0,2,1,0,0.8246346555323592,0.38048857814430737,0.11750000000000001,0.5454545454545454,0.26666666666666666,0.15766368972704115,0.019980601357904946,0.2895622895622896
APP000011,81.7,22774.0,9.2,640.0,9.2,4395.0,0.193,0.63,0,1,1,0,0.8089770354906054,0.0985524043652655,0.22999999999999998,0.6181818181818182,0.30666666666666664,0.03739465761838118,0.01813773035887488,0.7048260381593715
APP000012,71.0,45666.0,1.6,601.0,18.9,4990.0,0.109,0.264,0,0,1,0,0.697286012526096,0.21753044680433617,0.04,0.5472727272727272,0.63,0.043385454948197226,0.009990300678952473,0.2940516273849607
APP000013,86.9,196217.25,17.8,665.0,1.9,9156.0,0.037,0.153,0,0,0,1,0.8632567849686849,1.0,0.445,0.6636363636363637,0.06333333333333332,0.08533110482385042,0.0030067895247332687,0.16947250280583614
APP000014,77.0,64585.0,1.8,619.0,13.2,11108.0,0.172,0.192,0,1,0,0,0.7599164926931107,0.31585936454436664,0.045,0.58,0.44,0.1049849474924234,0.016100872938894274,0.2132435465768799
APP000015,57.1,76523.0,2.8,723.0,10.0,21690.0,0.283,0.154,0,0,1,1,0.5521920668058455,0.3779054885456608,0.06999999999999999,0.769090909090909,0.3333333333333333,0.21153052286068125,0.02686711930164888,0.17059483726150393
APP000016,75.5,25936.0,13.9,705.0,2.4,11123.0,0.429,0.554,0,0,0,0,0.744258872651357,0.11498646736510568,0.34750000000000003,0.7363636363636363,0.08,0.10513597599653642,0.04102812803103782,0.6195286195286196
APP000017,55.6,23473.0,1.2,567.0,2.1,29112.0,1.24,0.517,0,1,1,0,0.5365344467640919,0.10218536136617894,0.03,0.48545454545454547,0.07,0.2862594266957984,0.11968962172647914,0.5780022446689114
APP000018,83.2,79023.0,1.2,763.0,12.5,1618.0,0.02,0.1,0,2,1,1,0.8246346555323592,0.3908988969895572,0.03,0.8418181818181818,0.4166666666666667,0.009434247223592667,0.0013579049466537342,0.10998877665544332
APP000019,69.3,41381.0,8.4,585.0,20.1,37336.0,0.902,0.13,0,1,1,0,0.6795407098121086,0.1952597447314977,0.21000000000000002,0.5181818181818182,0.67,0.36906332121749114,0.08690591658583899,0.143658810325477
APP000020,67.2,99129.0,0.2,549.0,1.0,7903.0,0.08,0.202,0,0,0,0,0.6576200417536535,0.4953970850587497,0.005,0.4527272727272727,0.03333333333333333,0.07271519044694369,0.007177497575169737,0.2244668911335578
APP000021,59.8,53417.0,3.8,745.0,22.6,16987.0,0.318,0.329,0,2,0,0,0.580375782881002,0.25781521034379257,0.095,0.8090909090909091,0.7533333333333334,0.1641780525377823,0.030261881668283218,0.367003367003367
APP000022,88.3,196217.25,1.6,597.0,13.8,24392.0,0.061,0.359,1,1,1,1,0.8778705636743215,1.0,0.04,0.54,0.46,0.2387357907349047,0.00533462657613967,0.4006734006734006
APP000023,67.7,36924.0,0.4,659.0,7.7,4192.0,0.114,0.081,1,0,1,1,0.662839248434238,0.1720950961577192,0.01,0.6527272727272727,0.25666666666666665,0.03535073852938511,0.010475266731328807,0.08866442199775533
APP000024,63.6,49127.5,3.6,534.0,1.5,28962.0,0.468,0.108,0,1,0,0,0.6200417536534447,0.23552112013575513,0.09,0.4254545454545455,0.05,0.2847491416546683,0.04481086323957323,0.11896745230078563
APP000025,64.7,30440.0,1.2,617.0,3.2,17848.0,0.586,0.225,0,2,1,0,0.6315240083507307,0.13839539201762946,0.03,0.5763636363636364,0.10666666666666667,0.17284708867386905,0.0562560620756547,0.250280583613917
APP000026,78.0,96688.0,2.8,640.0,2.2,36475.0,0.377,0.207,0,1,1,0,0.7703549060542797,0.48271032105412925,0.06999999999999999,0.6181818181818182,0.07333333333333333,0.36039428508140436,0.035984481086323954,0.23007856341189672
APP000027,75.5,67799.0,2.1,615.0,6.3,11114.0,0.164,0.449,0,0,1,0,0.744258872651357,0.33256369043983985,0.052500000000000005,0.5727272727272728,0.21,0.1050453588940686,0.015324927255092142,0.5016835016835017
APP000028,76.2,29240.0,1.8,604.0,2.7,10506.0,0.359,0.335,0,1,1,0,0.7515657620041754,0.13215855596455917,0.045,0.5527272727272727,0.09000000000000001,0.09892367019402129,0.034238603297769156,0.37373737373737376
APP000029,76.5,43029.0,16.3,654.0,3.2,6266.0,0.146,0.339,0,1,1,0,0.7546972860125261,0.20382499957771422,0.40750000000000003,0.6436363636363637,0.10666666666666667,0.05623294636474391,0.013579049466537341,0.3782267115600449
APP000030,100.0,118551.0,5.5,739.0,4.4,6430.0,0.054,0.352,0,0,1,1,1.0,0.5963402765776922,0.1375,0.7981818181818182,0.14666666666666667,0.05788419134304614,0.004655674102812803,0.39281705948372614
APP000031,63.9,110307.0,2.3,565.0,5.7,10065.0,0.091,0.159,0,2,0,0,0.6231732776617954,0.5534932128930994,0.057499999999999996,0.4818181818181818,0.19,0.0944834321730988,0.008244422890397672,0.17620650953984288
APP000032,62.3,22278.0,5.4,423.0,8.1,15844.0,0.711,0.108,0,0,1,0,0.6064718162839248,0.09597451212999646,0.135,0.22363636363636363,0.26999999999999996,0.15266968052437097,0.06838021338506303,0.11896745230078563
APP000033,57.8,39357.0,0.3,762.0,3.3,17812.0,0.453,0.379,0,0,1,0,0.5594989561586639,0.1847402812553192,0.0075,0.84,0.11,0.17248462026399783,0.04335596508244423,0.42312008978675647
APP000034,79.2,49127.5,4.1,591.0,3.9,5190.0,0.033,0.693,0,1,0,0,0.7828810020876827,0.23552112013575513,0.1025,0.5290909090909091,0.13,0.045399168336370685,0.0026188166828322017,0.7755331088664421
APP000035,86.9,47084.0,5.1,598.0,14.6,9806.0,0.208,0.049,0,1,1,1,0.8632567849686849,0.2249003080737142,0.1275,0.5418181818181819,0.48666666666666664,0.09187567333541417,0.019592628516003876,0.052749719416386086
APP000036,68.3,58108.0,5.8,601.0,7.0,12326.0,0.212,0.248,0,1,1,0,0.6691022964509394,0.2821960419479198,0.145,0.5472727272727272,0.23333333333333334,0.11724846202639978,0.019980601357904946,0.27609427609427606
APP000037,57.4,96390.0,1.1,530.0,0.9,2330.0,0.024,0.396,0,0,1,0,0.5553235908141962,0.48116150676761676,0.027500000000000004,0.41818181818181815,0.030000000000000002,0.016603066885490188,0.0017458777885548014,0.44219977553310885
APP000038,57.6,23405.0,2.2,614.0,10.7,19206.0,0.821,0.309,0,0,1,0,0.55741127348643,0.10183194065650496,0.05500000000000001,0.5709090909090909,0.35666666666666663,0.18652020257956686,0.07904946653734238,0.3445566778900112
APP000039,79.8,29619.0,5.4,625.0,3.8,8759.0,0.296,0.34,0,0,1,1,0.789144050104384,0.13412835668465387,0.135,0.5909090909090909,0.12666666666666665,0.0813338837483261,0.02812803103782735,0.3793490460157127
APP000040,81.1,42864.0,3.6,689.0,6.3,10599.0,0.247,0.289,0,0,1,1,0.8027139874739039,0.20296743462041705,0.09,0.7072727272727273,0.21,0.09986004691952194,0.02337536372453928,0.3221099887766554
APP000041,78.1,107235.0,11.9,601.0,4.0,29079.0,0.271,0.343,0,0,1,1,0.7713987473903966,0.5375269125972394,0.2975,0.5472727272727272,0.13333333333333333,0.2859271639867498,0.025703200775945685,0.3827160493827161
APP000042,60.0,95977.0,9.2,430.0,0.7,5226.0,0.054,0.259,0,1,1,0,0.5824634655532359,0.4790149956926851,0.22999999999999998,0.23636363636363636,0.02333333333333333,0.04576163674624191,0.004655674102812803,0.2884399551066218
APP000043,73.5,80166.0,0.7,530.0,2.9,5699.0,0.071,0.254,0,0,1,1,0.7233820459290188,0.39683948333010666,0.017499999999999998,0.41818181818181815,0.09666666666666666,0.05052406890927214,0.0063045586808923365,0.2828282828282828
APP000044,71.8,47882.0,1.2,750.0,8.1,2111.0,0.044,0.379,0,0,1,1,0.7056367432150312,0.22904780404900593,0.03,0.8181818181818182,0.26999999999999996,0.014398050725440249,0.0036857419980601356,0.42312008978675647
APP000045,73.3,102513.0,2.8,574.0,15.5,9917.0,0.097,0.155,0,0,1,1,0.721294363256785,0.5129849627284079,0.06999999999999999,0.49818181818181817,0.5166666666666667,0.09299328426585045,0.008826382153249272,0.1717171717171717
APP000046,83.1,47497.0,4.4,699.0,2.1,22394.0,0.471,0.588,0,2,0,0,0.8235908141962421,0.22704681914864588,0.11000000000000001,0.7254545454545455,0.07,0.21861879398705183,0.045101842870999026,0.6576879910213244
APP000047,73.4,49127.5,3.7,586.0,12.8,2376.0,0.032,0.263,1,1,1,0,0.7223382045929019,0.23552112013575513,0.0925,0.52,0.4266666666666667,0.017066220964770083,0.002521823472356935,0.29292929292929293
APP000048,80.2,89969.0,1.2,723.0,0.3,5037.0,0.056,0.184,0,1,1,1,0.7933194154488518,0.44778923652031327,0.03,0.769090909090909,0.01,0.043858677594417986,0.004849660523763337,0.20426487093153758
APP000049,71.0,144075.0,2.5,659.0,0.4,11644.0,0.081,0.149,0,0,1,1,0.697286012526096,0.7289977794264969,0.0625,0.6527272727272727,0.013333333333333334,0.11038169937272828,0.0072744907856450046,0.16498316498316498
APP000050,74.3,50322.0,2.6,519.0,2.3,7510.0,0.149,0.551,0,2,0,0,0.731732776617954,0.24172937069024883,0.065,0.3981818181818182,0.07666666666666666,0.06875824363918283,0.01387002909796314,0.6161616161616162
APP000051,79.5,41875.0,0.8,545.0,5.8,7560.0,0.181,0.208,0,0,1,0,0.7860125260960334,0.19782724224001164,0.02,0.44545454545454544,0.19333333333333333,0.0692616719862262,0.016973811833171676,0.2312008978675645
APP000052,48.1,113215.0,5.0,516.0,0.1,11550.0,0.102,0.612,0,0,1,0,0.4582463465553236,0.5686071455950397,0.125,0.3927272727272727,0.0033333333333333335,0.10943525408028676,0.009311348205625604,0.6846240179573513
APP000053,65.2,118553.0,5.3,732.0,6.6,37512.0,0.316,0.347,0,0,1,1,0.6367432150313153,0.5963506713044473,0.1325,0.7854545454545454,0.22,0.37083538899908375,0.030067895247332686,0.38720538720538716
APP000054,62.9,37571.0,2.1,537.0,1.9,10678.0,0.284,0.476,1,0,1,0,0.6127348643006263,0.17545779026299957,0.052500000000000005,0.4309090909090909,0.06333333333333332,0.10065546370785046,0.026964112512124147,0.531986531986532
APP000055,60.4,26822.0,4.8,617.0,2.0,12272.0,0.458,0.295,0,0,1,1,0.5866388308977035,0.11959133131762258,0.12,0.5763636363636364,0.06666666666666667,0.11670475941159295,0.043840931134820564,0.3288439955106622
APP000056,65.9,108166.0,3.6,643.0,0.6,14534.0,0.134,0.618,0,0,1,1,0.6440501043841337,0.5423656579017464,0.09,0.6236363636363637,0.02,0.1394798578318348,0.012415130940834141,0.691358024691358
APP000057,92.4,19438.0,2.0,670.0,19.0,2653.0,0.136,0.204,0,0,1,1,0.9206680584551149,0.08121400013773013,0.05,0.6727272727272727,0.6333333333333333,0.019855214007390327,0.012609117361784675,0.22671156004489335
APP000058,57.0,18851.0,23.3,609.0,11.3,13020.0,0.691,0.262,0,0,1,0,0.5511482254697286,0.07816314783510325,0.5825,0.5618181818181818,0.3766666666666667,0.12423604748336169,0.0664403491755577,0.29180695847362514
APP000059,84.5,44313.0,8.6,508.0,5.6,3525.0,0.08,0.545,0,2,1,0,0.8382045929018789,0.21049841415449944,0.215,0.3781818181818182,0.18666666666666665,0.02863500437982662,0.007177497575169737,0.6094276094276094
APP000060,44.8,52128.0,4.1,541.0,12.9,10576.0,0.203,0.207,0,0,1,0,0.4237995824634655,0.2511158089501196,0.1025,0.4381818181818182,0.43,0.099628469879882,0.019107662463627547,0.23007856341189672
APP000061,65.0,25953.0,6.1,555.0,5.5,22312.0,0.86,0.291,0,1,1,0,0.6346555323590815,0.11507482254252417,0.1525,0.4636363636363636,0.18333333333333332,0.2177931714979007,0.08283220174587778,0.324354657687991
APP000062,72.4,56001.0,0.2,412.0,3.8,7747.0,0.138,0.278,0,0,1,0,0.7118997912317329,0.27124519731140395,0.005,0.20363636363636364,0.12666666666666665,0.07114449400416839,0.012803103782735208,0.3097643097643098
APP000063,78.8,57520.0,3.5,689.0,3.0,21998.0,0.382,0.384,0,1,1,1,0.778705636743215,0.2791399922819154,0.0875,0.7072727272727273,0.1,0.21463164147846836,0.03646944713870029,0.4287317620650954
APP000064,80.7,36745.0,1.0,695.0,4.7,3096.0,0.084,0.144,0,1,1,1,0.7985386221294364,0.17116476811313622,0.025,0.7181818181818181,0.15666666666666668,0.024315589162194545,0.0075654704170708045,0.15937149270482603
APP000065,81.9,166056.0,6.3,554.0,1.3,12587.0,0.076,0.455,0,0,1,1,0.8110647181628393,0.8432410238286118,0.1575,0.4618181818181818,0.043333333333333335,0.11987635799796614,0.0067895247332686705,0.5084175084175084
APP000066,64.8,63440.0,0.8,767.0,18.5,12727.0,0.201,0.246,0,0,1,1,0.6325678496868475,0.30990838347706207,0.02,0.8490909090909091,0.6166666666666667,0.12128595736968757,0.018913676042677012,0.2738496071829405
APP000067,63.1,96480.0,3.3,640.0,14.1,1570.0,0.016,0.492,0,0,1,0,0.6148225469728601,0.48162926947159707,0.08249999999999999,0.6181818181818182,0.47,0.008950956010431036,0.0009699321047526673,0.5499438832772165
APP000068,82.9,20461.0,7.4,726.0,1.9,14847.0,0.726,0.078,0,1,1,0,0.8215031315240084,0.08653090287297253,0.185,0.7745454545454545,0.06333333333333332,0.14263131928432626,0.06983511154219205,0.08529741863075196
APP000069,67.1,49127.5,6.8,720.0,4.1,1282.0,0.063,0.252,0,0,1,1,0.6565762004175365,0.23552112013575513,0.16999999999999998,0.7636363636363637,0.13666666666666666,0.006051208731461251,0.005528612997090203,0.28058361391694725
APP000070,50.9,64604.0,3.6,638.0,0.8,11668.0,0.181,0.198,0,0,1,1,0.48747390396659707,0.3159581144485403,0.09,0.6145454545454545,0.02666666666666667,0.11062334497930909,0.016973811833171676,0.21997755331088664
APP000071,53.0,149181.0,7.2,467.0,23.6,14142.0,0.095,0.302,0,0,1,0,0.5093945720250522,0.755535516832311,0.18,0.30363636363636365,0.7866666666666667,0.13553297959101482,0.008632395732298738,0.33670033670033667
APP000072,56.2,26743.0,1.0,668.0,0.4,7671.0,0.287,0.303,0,2,0,0,0.5427974947807933,0.11918073961079545,0.025,0.6690909090909091,0.013333333333333334,0.07037928291666247,0.027255092143549948,0.33782267115600445
APP000073,77.5,53425.0,1.3,697.0,1.2,11622.0,0.218,0.272,0,1,0,0,0.7651356993736952,0.25785678925081307,0.0325,0.7218181818181818,0.04,0.1101601909000292,0.020562560620756544,0.30303030303030304
APP000074,72.1,23364.0,0.2,591.0,12.1,50445.0,2.159,0.424,1,1,1,0,0.7087682672233819,0.10161884875802506,0.005,0.5290909090909091,0.4033333333333333,0.5010521652453206,0.20882638215324925,0.4736251402918069
APP000075,80.4,31851.0,4.8,664.0,1.6,7040.0,0.221,0.419,0,0,1,1,0.7954070981210857,0.1457288717433646,0.12,0.6618181818181819,0.05333333333333334,0.0640260171769752,0.020853540252182345,0.468013468013468
APP000076,63.6,55043.0,4.9,647.0,5.9,4553.0,0.083,0.3,0,0,1,1,0.6200417536534447,0.2662661231957028,0.12250000000000001,0.6309090909090909,0.19666666666666668,0.03898549119503821,0.007468477206595538,0.3344556677890011
APP000077,72.4,36477.0,4.9,564.0,6.6,43123.0,1.182,0.268,0,0,1,0,0.7118997912317329,0.16977187472795052,0.12250000000000001,0.48,0.22,0.4273301181042902,0.11406401551891367,0.2985409652076319
APP000078,79.4,22397.0,2.6,641.0,4.3,11812.0,0.527,0.069,0,0,1,1,0.7849686847599165,0.09659299837192592,0.065,0.62,0.14333333333333334,0.11207321861879399,0.050533462657613964,0.07519640852974187
APP000079,65.4,22098.0,2.0,604.0,3.2,23159.0,1.048,0.563,0,1,1,0,0.6388308977035491,0.09503898672203591,0.05,0.5527272727272727,0.10666666666666667,0.2263212476968153,0.10106692531522793,0.6296296296296295
APP000080,76.9,15810.0,6.9,684.0,0.1,3260.0,0.206,0.226,0,0,1,0,0.7588726513569938,0.06235796580394766,0.17250000000000001,0.6981818181818182,0.0033333333333333335,0.025966834140496782,0.019398642095053344,0.25140291806958476
APP000081,60.1,65248.0,4.0,597.0,10.8,1812.0,0.028,0.244,0,1,1,0,0.5835073068893528,0.319305216463688,0.1,0.54,0.36000000000000004,0.011387549210120923,0.0021338506304558677,0.2716049382716049
APP000082,64.6,70161.0,2.4,586.0,2.6,5522.0,0.079,0.324,0,0,1,0,0.6304801670146137,0.3448398627376332,0.06,0.52,0.08666666666666667,0.04874193256073863,0.00708050436469447,0.3613916947250281
APP000083,64.3,69950.0,0.4,503.0,4.0,8943.0,0.128,0.356,0,0,1,0,0.627348643006263,0.34374321906496835,0.01,0.3690909090909091,0.13333333333333333,0.08318650006544569,0.01183317167798254,0.3973063973063973
APP000084,52.1,28410.0,5.7,849.0,27.2,7017.0,0.247,0.403,0,0,1,1,0.5,0.12784474436118556,0.14250000000000002,0.9981818181818182,0.9066666666666666,0.06379444013733525,0.02337536372453928,0.4500561167227834
APP000085,77.3,89641.0,12.8,609.0,2.3,7008.0,0.078,0.057,0,0,1,1,0.7630480167014614,0.446084501332474,0.32,0.5618181818181818,0.07666666666666666,0.06370382303486745,0.006983511154219204,0.06172839506172839
APP000086,63.0,74912.0,6.9,548.0,9.4,2725.0,0.036,0.607,0,0,1,0,0.6137787056367432,0.36953253614441395,0.17250000000000001,0.4509090909090909,0.31333333333333335,0.020580150827132774,0.0029097963142580016,0.6790123456790124
APP000087,70.2,49236.0,2.9,704.0,2.1,11783.0,0.239,0.059,1,1,1,0,0.6889352818371608,0.23608503406222023,0.0725,0.7345454545454545,0.07,0.11178123017750884,0.022599418040737146,0.06397306397306397
APP000088,77.2,44618.0,1.3,667.0,1.8,8398.0,0.188,0.243,0,1,1,1,0.7620041753653445,0.21208360998465478,0.0325,0.6672727272727272,0.060000000000000005,0.077699131082673,0.017652764306498543,0.27048260381593714
APP000089,76.7,33207.0,2.0,699.0,3.8,2159.0,0.065,0.25,0,0,1,1,0.75678496868476,0.152776496483334,0.05,0.7254545454545455,0.12666666666666665,0.01488134193860188,0.0057225994180407375,0.2783389450056117
APP000090,80.0,55011.0,7.3,709.0,4.9,8112.0,0.147,0.458,0,1,0,0,0.791231732776618,0.26609980756762097,0.1825,0.7436363636363637,0.16333333333333336,0.07481952093758495,0.013676042677012607,0.5117845117845118
APP000091,68.5,129359.0,1.0,749.0,0.1,9174.0,0.071,0.829,0,0,0,0,0.6711899791231732,0.6525133799623452,0.025,0.8163636363636364,0.0033333333333333335,0.08551233902878604,0.0063045586808923365,0.9281705948372614
APP000092,63.7,97024.0,16.8,554.0,5.1,21138.0,0.218,0.248,0,0,1,0,0.6210855949895616,0.4844566351489889,0.42000000000000004,0.4618181818181818,0.16999999999999998,0.20597267390932247,0.020562560620756544,0.27609427609427606
APP000093,68.8,42036.0,9.2,663.0,1.8,6909.0,0.164,0.405,0,1,1,0,0.674321503131524,0.19866401774379858,0.22999999999999998,0.66,0.060000000000000005,0.06270703490772159,0.015324927255092142,0.45230078563411896
APP000094,44.7,67722.0,14.2,508.0,12.1,19871.0,0.293,0.458,0,0,1,0,0.42275574112734865,0.33216349345976787,0.355,0.3781818181818182,0.4033333333333333,0.1932157995952436,0.02783705140640155,0.5117845117845118
APP000095,48.3,25315.0,1.6,622.0,12.5,18370.0,0.726,0.346,0,0,1,0,0.46033402922755734,0.11175890470764181,0.04,0.5854545454545454,0.4166666666666667,0.17810288061700177,0.06983511154219205,0.3860830527497194
APP000096,50.2,75966.0,1.2,710.0,5.0,5651.0,0.074,0.263,0,0,0,0,0.4801670146137787,0.37501055714436066,0.03,0.7454545454545455,0.16666666666666666,0.05004077769611051,0.006595538312318136,0.29292929292929293
APP000097,55.0,29777.0,4.9,569.0,2.0,16111.0,0.541,0.184,0,2,1,0,0.5302713987473904,0.13494954009830812,0.12250000000000001,0.4890909090909091,0.06666666666666667,0.15535798789758254,0.0518913676042677,0.20426487093153758
APP000098,76.0,74173.0,0.3,850.0,6.9,22355.0,0.301,0.392,0,1,1,0,0.7494780793319415,0.3656916846083982,0.0075,1.0,0.23,0.218226119876358,0.028612997090203682,0.4377104377104377
APP000099,56.4,49127.5,13.0,652.0,4.9,21583.0,0.074,0.167,0,1,1,1,0.5448851774530271,0.23552112013575513,0.325,0.64,0.16333333333333336,0.21045318619800843,0.006595538312318136,0.1851851851851852
APP000100,64.3,34822.0,1.4,487.0,10.2,12825.0,0.368,0.239,0,2,1,0,0.627348643006263,0.16117023833809108,0.034999999999999996,0.34,0.33999999999999997,0.12227267692989256,0.035111542192046555,0.265993265993266
APP000101,89.5,196217.25,1.4,713.0,0.4,9289.0,0.033,0.478,0,1,1,1,0.8903966597077244,1.0,0.034999999999999996,0.7509090909090909,0.013333333333333334,0.08667022422698577,0.0026188166828322017,0.5342312008978676
APP000102,64.7,65800.0,1.5,850.0,2.7,3842.0,0.058,0.233,0,1,1,1,0.6315240083507307,0.3221741610481003,0.0375,1.0,0.09000000000000001,0.03182674010008155,0.00504364694471387,0.25925925925925924
APP000103,81.1,31264.0,2.0,449.0,10.3,22935.0,0.734,0.248,0,1,1,0,0.8027139874739039,0.1426780194407377,0.05,0.27090909090909093,0.3433333333333334,0.22406588870206104,0.07061105722599417,0.27609427609427606
APP000104,56.0,30416.0,0.5,714.0,12.0,3586.0,0.118,0.35,0,1,1,0,0.5407098121085595,0.13827065529656804,0.0125,0.7527272727272727,0.4,0.029249186963219525,0.010863239573229872,0.3905723905723905
APP000105,66.9,196217.25,8.7,561.0,3.9,8886.0,0.044,0.141,0,0,1,1,0.6544885177453028,1.0,0.21749999999999997,0.47454545454545455,0.13,0.08261259174981625,0.0036857419980601356,0.15600448933782265
APP000106,55.7,65893.0,11.0,645.0,4.2,21319.0,0.324,0.584,1,1,1,0,0.5375782881002088,0.32265751584221325,0.275,0.6272727272727273,0.14,0.20779508452561946,0.03084384093113482,0.6531986531986531
APP000107,64.9,34902.0,2.5,532.0,8.0,4949.0,0.142,0.075,0,1,1,0,0.6336116910229646,0.16158602740829578,0.0625,0.4218181818181818,0.26666666666666666,0.042972643703621666,0.013191076624636273,0.08193041526374858
APP000108,82.6,43387.0,0.3,727.0,1.5,9901.0,0.228,0.141,0,1,1,1,0.8183716075156575,0.20568565566688018,0.0075,0.7763636363636364,0.05,0.09283218719479656,0.021532492725509212,0.15600448933782265
APP000109,44.1,63479.0,7.6,621.0,0.2,3296.0,0.052,0.656,0,0,1,0,0.4164926931106472,0.3101110806487869,0.19,0.5836363636363636,0.006666666666666667,0.026329302550368007,0.0044616876818622695,0.734006734006734
APP000110,76.5,48765.0,0.1,754.0,5.5,7710.0,0.158,0.149,0,1,1,1,0.7546972860125261,0.23363707591139016,0.0025,0.8254545454545454,0.18333333333333332,0.0707719570273563,0.014742967992240542,0.16498316498316498
APP000111,73.6,60327.0,0.0,557.0,4.6,4939.0,0.082,0.448,0,0,1,0,0.7244258872651357,0.2937289912827223,0.0,0.4672727272727273,0.15333333333333332,0.04287195803421299,0.007371483996120271,0.500561167227834
APP000112,61.1,142083.0,0.8,631.0,23.1,5727.0,0.04,0.258,0,0,1,1,0.593945720250522,0.7186446315784003,0.02,0.6018181818181818,0.77,0.050805988783616425,0.003297769156159069,0.287317620650954
APP000113,48.3,24915.0,12.4,442.0,2.7,14820.0,0.595,0.111,0,0,1,0,0.46033402922755734,0.10967995935661838,0.31,0.2581818181818182,0.09000000000000001,0.14235946797692284,0.0571290009699321,0.122334455667789
APP000114,71.1,72170.0,4.4,850.0,0.5,15775.0,0.219,0.206,0,1,1,1,0.6983298538622129,0.35528136576314834,0.11000000000000001,1.0,0.016666666666666666,0.15197494940545112,0.020659553831231813,0.22895622895622894
APP000115,62.1,46923.0,1.3,823.0,6.1,6648.0,0.142,0.382,0,0,1,1,0.6043841336116911,0.22406353256992728,0.0325,0.9509090909090909,0.2033333333333333,0.06007913893615522,0.013191076624636273,0.4264870931537598
APP000116,73.5,36336.0,9.0,846.0,8.2,12044.0,0.331,0.282,0,0,1,1,0.7233820459290188,0.16903904649171475,0.225,0.9927272727272727,0.2733333333333333,0.1144091261490752,0.03152279340446169,0.3142536475869809
APP000117,70.3,93275.0,4.1,788.0,4.8,7207.0,0.077,0.369,1,0,1,1,0.6899791231732776,0.46497171984652186,0.1025,0.8872727272727273,0.16,0.06570746785610004,0.006886517943743937,0.4118967452300786
APP000118,94.0,20397.0,0.3,597.0,3.1,7760.0,0.38,0.446,0,1,1,0,0.9373695198329853,0.08619827161680879,0.0075,0.54,0.10333333333333333,0.07127538537439966,0.03627546071774976,0.4983164983164983
APP000119,66.4,11851.0,0.8,646.0,0.6,4429.0,0.374,0.425,0,2,0,0,0.6492693110647182,0.0417816041921933,0.02,0.6290909090909091,0.02,0.03773698889437067,0.035693501454898156,0.47474747474747475
