applicant_id,academic_score,income_annual,employment_years,credit_score,credit_history_years,loan_amount_requested,loan_percent_income,existing_debt_ratio,prior_default_flag,documents_missing_ct,eligibility_criteria_met,loan_status,academic_score_scaled,income_annual_scaled,employment_years_scaled,credit_score_scaled,credit_history_years_scaled,loan_amount_requested_scaled,loan_percent_income_scaled,existing_debt_ratio_scaled,prior_default_flag_scaled,documents_missing_ct_scaled,eligibility_criteria_met_scaled
APP000015,57.1,76523.0,2.8,723.0,2.3,14797.0,0.193,0.331,0,0,1,0,0.5521920668058455,0.3780749691918115,0.06999999999999999,0.769090909090909,0.07666666666666666,0.1420847010491975,0.032815808045165845,0.36853932584269666,0.0,0.0,1.0
APP000016,75.5,25936.0,13.9,705.0,3.8,3922.0,0.151,0.015,0,2,1,0,0.744258872651357,0.11503803576349711,0.34750000000000003,0.7363636363636363,0.12666666666666665,0.03258352296755744,0.02540578687367678,0.01348314606741573,0.0,1.0,1.0
APP000017,55.6,23473.0,1.2,567.0,11.5,14059.0,0.599,0.085,0,1,1,0,0.5365344467640919,0.1022311888060982,0.03,0.48545454545454547,0.38333333333333336,0.13465372455041585,0.10444601270289343,0.09213483146067417,0.0,0.5,1.0
APP000018,83.2,79023.0,1.2,763.0,5.9,10595.0,0.134,0.181,0,0,1,1,0.8246346555323592,0.3910742048367556,0.03,0.8418181818181818,0.19666666666666668,0.09977445274583643,0.02240649258997883,0.19999999999999998,0.0,0.0,1.0
APP000019,69.3,41381.0,8.4,585.0,0.9,12099.0,0.292,0.382,0,0,1,0,0.6795407098121086,0.19534731357796162,0.21000000000000002,0.5181818181818182,0.030000000000000002,0.11491833981110418,0.05028228652081863,0.4258426966292135,0.0,0.0,1.0
APP000020,67.2,99129.0,0.2,549.0,4.4,8344.0,0.084,0.399,0,0,1,0,0.6576200417536535,0.49561925758765385,0.005,0.4527272727272727,0.14666666666666667,0.07710896751716777,0.013585038814396612,0.4449438202247191,0.0,0.0,1.0
APP000021,59.8,53417.0,3.8,745.0,5.0,10181.0,0.191,0.144,0,1,1,1,0.580375782881002,0.2579308336669804,0.095,0.8090909090909091,0.16666666666666666,0.09560585617334917,0.032462949894142556,0.15842696629213482,0.0,0.5,1.0
APP000022,88.3,196131.0,1.6,597.0,2.3,31437.0,0.16,0.199,0,0,1,1,0.8778705636743215,1.0,0.04,0.54,0.07666666666666666,0.309634089856415,0.02699364855328158,0.2202247191011236,0.0,0.0,1.0
APP000023,67.7,36924.0,0.4,659.0,16.2,7684.0,0.208,0.455,0,2,1,0,0.662839248434238,0.17217227627015533,0.01,0.6527272727272727,0.5399999999999999,0.07046337877841996,0.0354622441778405,0.5078651685393258,0.0,1.0,1.0
APP000024,63.6,61913.0,3.6,534.0,2.9,6358.0,0.103,0.667,0,1,1,0,0.6200417536534447,0.3021074360827583,0.09,0.4254545454545455,0.09666666666666666,0.057111786857844814,0.016937191249117852,0.7460674157303371,0.0,0.5,1.0
APP000025,64.7,30440.0,1.2,617.0,4.5,6081.0,0.2,0.201,0,2,1,0,0.6315240083507307,0.13845745870142837,0.03,0.5763636363636364,0.15,0.054322653402340056,0.034050811573747355,0.22247191011235956,0.0,1.0,1.0
APP000026,78.0,96688.0,2.8,640.0,3.0,4703.0,0.049,0.059,0,0,0,0,0.7703549060542797,0.48292680390393045,0.06999999999999999,0.6181818181818182,0.1,0.040447469641742353,0.007410021171489062,0.06292134831460673,0.0,0.0,0.0
APP000027,75.5,67799.0,2.8,615.0,0.1,15124.0,0.223,0.181,0,1,1,0,0.744258872651357,0.33271283648521466,0.06999999999999999,0.5727272727272728,0.0033333333333333335,0.14537728819703163,0.03810868031051517,0.19999999999999998,0.0,0.5,1.0
APP000028,76.2,29240.0,1.8,604.0,5.1,22588.0,0.773,0.382,0,0,1,0,0.7515657620041754,0.1322178255918552,0.045,0.5527272727272727,0.16999999999999998,0.2205328553879614,0.13514467184191956,0.4258426966292135,0.0,0.0,1.0
APP000029,76.5,43029.0,16.3,654.0,8.2,6545.0,0.152,0.144,0,2,0,0,0.7546972860125261,0.20391640971510874,0.40750000000000003,0.6436363636363637,0.2733333333333333,0.058994703667156694,0.025582215949188424,0.15842696629213482,0.0,1.0,0.0
APP000030,100.0,118551.0,5.5,739.0,13.9,14382.0,0.121,0.035,0,0,0,1,1.0,0.5966077194660954,0.1375,0.7981818181818182,0.4633333333333333,0.13790603540286364,0.02011291460832745,0.035955056179775284,0.0,0.0,0.0
APP000031,63.9,110307.0,2.3,565.0,2.1,20490.0,0.186,0.395,0,1,1,0,0.6231732776617954,0.5537414400033278,0.057499999999999996,0.4818181818181818,0.07,0.19940793845782065,0.03158080451658433,0.4404494382022472,0.0,0.5,1.0
APP000032,62.3,22278.0,5.4,423.0,2.2,11617.0,0.521,0.222,0,1,1,0,0.6064718162839248,0.09601755416781493,0.135,0.22363636363636363,0.07333333333333333,0.11006504621704896,0.09068454481298518,0.24606741573033708,0.0,0.5,1.0
APP000033,57.8,39357.0,0.3,762.0,10.9,10042.0,0.255,0.261,1,1,1,0,0.5594989561586639,0.1848231323998149,0.0075,0.84,0.36333333333333334,0.0942062549086735,0.04375441072688779,0.2898876404494382,1.0,0.5,1.0
APP000034,79.2,155257.0,4.1,591.0,1.1,6255.0,0.04,0.191,1,2,0,0,0.7828810020876827,0.7874676968994223,0.1025,0.5290909090909091,0.03666666666666667,0.05607467225164629,0.005822159491884263,0.21123595505617979,1.0,1.0,0.0
APP000035,86.9,47084.0,5.1,598.0,1.7,15313.0,0.325,0.25,0,0,1,1,0.8632567849686849,0.22500116993120806,0.1275,0.5418181818181819,0.056666666666666664,0.14728034315403668,0.05610444601270289,0.27752808988764044,0.0,0.0,1.0
APP000036,68.3,58108.0,5.8,601.0,11.4,8393.0,0.144,0.315,0,0,1,0,0.6691022964509394,0.28232259943115345,0.145,0.5472727272727272,0.38,0.07760235213565056,0.02417078334509527,0.350561797752809,0.0,0.0,1.0
APP000037,57.4,96390.0,1.1,530.0,10.6,15089.0,0.157,0.024,1,1,1,0,0.5553235908141962,0.4813772950150531,0.027500000000000004,0.41818181818181815,0.35333333333333333,0.14502487061240107,0.026464361326746646,0.02359550561797753,1.0,0.5,1.0
APP000038,57.6,23405.0,2.8,614.0,2.3,6919.0,0.296,0.306,0,0,1,0,0.55741127348643,0.10187760959655573,0.06999999999999999,0.5709090909090909,0.07666666666666666,0.06276053728578046,0.050988002822865204,0.34044943820224716,0.0,0.0,1.0
APP000039,79.8,29619.0,5.4,625.0,1.6,12430.0,0.42,0.111,1,0,1,0,0.789144050104384,0.13418850971562873,0.135,0.5909090909090909,0.05333333333333334,0.11825120325432467,0.0728652081863091,0.12134831460674157,1.0,0.0,1.0
APP000040,81.1,42864.0,3.6,689.0,2.0,21229.0,0.495,0.346,0,0,1,1,0.8027139874739039,0.20305846016254245,0.09,0.7072727272727273,0.06666666666666667,0.20684898403044888,0.08609738884968242,0.38539325842696626,0.0,0.0,1.0
APP000041,78.1,107235.0,11.9,601.0,0.8,13887.0,0.13,0.137,0,0,1,1,0.7713987473903966,0.5377679792428205,0.2975,0.5472727272727272,0.02666666666666667,0.1329218438488028,0.02170077628793225,0.150561797752809,0.0,0.0,1.0
APP000042,60.0,49072.0,9.2,430.0,2.9,6341.0,0.129,0.089,0,0,1,0,0.5824634655532359,0.23533816211606756,0.22999999999999998,0.23636363636363636,0.09666666666666666,0.056940612602452825,0.021524347212420605,0.09662921348314606,0.0,0.0,1.0
APP000043,73.5,80166.0,0.7,530.0,1.9,4599.0,0.057,0.297,0,0,1,1,0.7233820459290188,0.39701745537362404,0.017499999999999998,0.41818181818181815,0.06333333333333332,0.03940028596169724,0.008821453775582216,0.3303370786516854,0.0,0.0,1.0
APP000044,71.8,47882.0,1.2,750.0,6.1,10405.0,0.217,0.425,0,1,0,0,0.7056367432150312,0.2291505259490742,0.03,0.8181818181818182,0.2033333333333333,0.09786132871498479,0.0370501058574453,0.4741573033707865,0.0,0.5,0.0
APP000045,73.3,102513.0,2.6,574.0,2.5,26159.0,0.255,0.421,0,1,1,0,0.721294363256785,0.5132150229566501,0.065,0.49818181818181817,0.08333333333333333,0.2564895180941257,0.04375441072688779,0.46966292134831455,0.0,0.5,1.0
APP000046,83.1,47497.0,4.4,699.0,0.5,17227.0,0.363,0.143,0,1,0,0,0.8235908141962421,0.22714864365975282,0.11000000000000001,0.7254545454545455,0.016666666666666666,0.16655255049640533,0.06280875088214537,0.15730337078651682,0.0,0.5,0.0
APP000047,73.4,73628.0,3.7,586.0,8.5,39523.0,0.537,0.085,0,0,1,0,0.7223382045929019,0.36302185431496625,0.0925,0.52,0.2833333333333333,0.39105262097992227,0.0935074100211715,0.09213483146067417,0.0,0.0,1.0
APP000048,80.2,89969.0,1.2,723.0,13.5,67416.0,0.749,0.465,0,2,1,0,0.7933194154488518,0.44799005818457877,0.03,0.769090909090909,0.45,0.67190929778279,0.1309103740296401,0.5191011235955056,0.0,1.0,1.0
APP000049,71.0,144075.0,2.5,659.0,13.0,9231.0,0.064,0.153,0,1,1,0,0.697286012526096,0.7293247157067164,0.0625,0.6527272727272727,0.43333333333333335,0.08604023601909096,0.010056457304163727,0.16853932584269662,0.0,0.5,1.0
APP000050,74.3,50322.0,2.6,519.0,10.1,15437.0,0.307,0.318,0,2,1,0,0.731732776617954,0.2418377799385396,0.065,0.3981818181818182,0.33666666666666667,0.14852890831101356,0.05292872265349329,0.3539325842696629,0.0,1.0,1.0
APP000051,79.5,41875.0,2.8,545.0,6.1,9875.0,0.236,0.231,0,0,1,0,0.7860125260960334,0.19791596254140256,0.06999999999999999,0.44545454545454544,0.2033333333333333,0.09252471957629338,0.040402258292166544,0.25617977528089886,0.0,0.0,1.0
APP000052,48.1,113215.0,5.0,516.0,2.2,6766.0,0.06,0.166,0,2,1,0,0.4582463465553236,0.5688621509055267,0.125,0.3927272727272727,0.07333333333333333,0.06121996898725255,0.009350741002117148,0.18314606741573033,0.0,1.0,1.0
APP000053,65.2,118553.0,5.3,732.0,1.1,13490.0,0.114,0.169,0,0,1,1,0.6367432150313153,0.5966181188546114,0.1325,0.7854545454545454,0.03666666666666667,0.12892442153170752,0.01887791107974594,0.18651685393258427,0.0,0.0,1.0
APP000054,62.9,37571.0,2.1,537.0,1.0,11833.0,0.315,0.521,0,1,0,0,0.6127348643006263,0.17553647845506684,0.052500000000000005,0.4309090909090909,0.03333333333333333,0.11223996616791188,0.054340155257586446,0.5820224719101124,0.0,0.5,0.0
APP000055,60.4,26822.0,4.8,617.0,3.1,9576.0,0.357,0.226,0,2,1,0,0.5866388308977035,0.11964496487606528,0.12,0.5763636363636364,0.10333333333333333,0.08951406649616368,0.06175017642907551,0.250561797752809,0.0,1.0,1.0
APP000056,65.9,108166.0,3.6,643.0,7.8,7740.0,0.072,0.294,0,2,1,0,0.6440501043841337,0.5426088945969977,0.09,0.6236363636363637,0.26,0.07102724691382886,0.011467889908256878,0.3269662921348314,0.0,1.0,1.0
APP000057,92.4,19438.0,2.0,670.0,9.5,10890.0,0.56,0.786,0,1,1,0,0.9206680584551149,0.08125042247515846,0.05,0.6727272727272727,0.31666666666666665,0.10274482953057977,0.09756527875793931,0.8797752808988765,0.0,0.5,1.0
APP000058,57.0,18851.0,23.3,609.0,2.0,7661.0,0.406,0.223,0,0,1,0,0.5511482254697286,0.07819820194572559,0.5825,0.5618181818181818,0.06666666666666667,0.07023179007994845,0.07039520112914609,0.24719101123595505,0.0,0.0,1.0
APP000059,84.5,44313.0,8.6,508.0,7.0,8994.0,0.203,0.139,0,0,1,1,0.8382045929018789,0.21059281714235203,0.215,0.3781818181818182,0.23333333333333334,0.0836538655174497,0.03458009880028229,0.15280898876404495,0.0,0.0,1.0
APP000060,44.8,52128.0,4.1,541.0,3.9,4573.0,0.088,0.172,1,0,1,0,0.4237995824634655,0.2512284277684472,0.1025,0.4381818181818182,0.13,0.039138490041685965,0.014290755116443187,0.18988764044943818,1.0,0.0,1.0
APP000061,65.0,25953.0,6.1,555.0,2.8,5613.0,0.216,0.265,0,0,1,0,0.6346555323590815,0.11512643056588273,0.1525,0.4636363636363636,0.09333333333333332,0.04961032684213706,0.03687367678193366,0.29438202247191014,0.0,0.0,1.0
APP000062,72.4,56001.0,0.2,412.0,6.6,6796.0,0.121,0.33,0,0,1,0,0.7118997912317329,0.27136684362959457,0.005,0.20363636363636364,0.22,0.06152204120265018,0.02011291460832745,0.36741573033707864,0.0,0.0,1.0
APP000063,78.8,57520.0,3.5,689.0,26.0,11393.0,0.198,0.327,1,0,0,0,0.778705636743215,0.2792651792074626,0.0875,0.7072727272727273,0.8666666666666667,0.10780957367541334,0.03369795342272407,0.36404494382022473,1.0,0.0,0.0
APP000064,80.7,36745.0,1.0,695.0,5.2,10475.0,0.285,0.224,0,1,1,0,0.7985386221294364,0.17124153099797731,0.025,0.7181818181818181,0.17333333333333334,0.09856616388424592,0.049047282992237116,0.24831460674157302,0.0,0.5,1.0
APP000065,81.9,166056.0,6.3,554.0,5.2,6547.0,0.039,0.213,0,1,1,0,0.8110647181628393,0.8436191951913228,0.1575,0.4618181818181818,0.17333333333333334,0.059014841814849874,0.0056457304163726185,0.23595505617977527,0.0,0.5,1.0
APP000066,64.8,63440.0,0.8,767.0,15.8,6974.0,0.11,0.124,0,0,1,1,0.6325678496868475,0.31004736921469017,0.02,0.8490909090909091,0.5266666666666667,0.06331433634734276,0.018172194777699362,0.13595505617977527,0.0,0.0,1.0
APP000067,63.1,96480.0,3.3,640.0,22.5,11462.0,0.119,0.112,0,0,1,1,0.6148225469728601,0.4818452674982711,0.08249999999999999,0.6181818181818182,0.75,0.10850433977082788,0.01976005645730416,0.12247191011235954,0.0,0.0,1.0
APP000068,82.9,49072.0,7.4,726.0,2.1,7087.0,0.144,0.366,1,2,1,0,0.8215031315240084,0.23533816211606756,0.185,0.7745454545454545,0.07,0.06445214169200716,0.02417078334509527,0.4078651685393258,1.0,1.0,1.0
APP000069,67.1,20355.0,6.8,720.0,1.8,5077.0,0.249,0.139,0,1,1,0,0.6565762004175365,0.08601854210972394,0.16999999999999998,0.7636363636363637,0.060000000000000005,0.04421330326036611,0.04269583627381792,0.15280898876404495,0.0,0.5,1.0
APP000070,50.9,64604.0,3.6,638.0,2.5,15959.0,0.247,0.37,1,1,1,0,0.48747390396659707,0.31609981333097614,0.09,0.6145454545454545,0.08333333333333333,0.15378496485893228,0.04234297812279463,0.41235955056179774,1.0,0.5,1.0
APP000071,53.0,149181.0,7.2,467.0,3.6,3815.0,0.026,0.221,0,1,1,0,0.5093945720250522,0.7558743545879503,0.18,0.30363636363636365,0.12000000000000001,0.031506132065972574,0.003352152434721242,0.24494382022471908,0.0,0.5,1.0
APP000072,56.2,26743.0,1.0,668.0,12.3,4781.0,0.179,0.365,0,0,1,0,0.5427974947807933,0.11923418902968505,0.025,0.6690909090909091,0.41000000000000003,0.041232857401776186,0.03034580098800282,0.40674157303370784,0.0,0.0,1.0
APP000073,77.5,53425.0,1.3,697.0,6.4,21702.0,0.406,0.064,0,1,1,1,0.7651356993736952,0.2579724312210442,0.0325,0.7218181818181818,0.21333333333333335,0.21161165595988482,0.07039520112914609,0.06853932584269663,0.0,0.5,1.0
APP000074,72.1,23364.0,0.2,591.0,0.0,4405.0,0.189,0.292,0,1,1,0,0.7087682672233819,0.10166442213197864,0.005,0.5290909090909091,0.0,0.037446885635459254,0.03211009174311926,0.3247191011235955,0.0,0.5,1.0
APP000075,80.4,31851.0,4.8,664.0,2.1,28184.0,0.885,0.444,0,2,1,0,0.7954070981210857,0.14579422729943478,0.12,0.6618181818181819,0.07,0.27687939263346556,0.15490472829922372,0.49550561797752807,0.0,1.0,1.0
APP000076,63.6,55043.0,4.9,647.0,30.0,4400.0,0.08,0.277,0,0,1,1,0.6200417536534447,0.266385536530452,0.12250000000000001,0.6309090909090909,1.0,0.03739654026622631,0.012879322512350034,0.3078651685393259,0.0,0.0,1.0
APP000077,72.4,36477.0,4.9,564.0,2.1,5040.0,0.138,0.48,0,1,0,0,0.7118997912317329,0.16984801293683932,0.12250000000000001,0.48,0.07,0.04384074752804237,0.023112208892025407,0.5359550561797752,0.0,0.5,0.0
APP000078,79.4,22397.0,2.6,641.0,9.1,4742.0,0.212,0.326,0,1,1,0,0.7849686847599165,0.09663631778451427,0.065,0.62,0.30333333333333334,0.040840163521759267,0.03616796047988708,0.36292134831460676,0.0,0.5,1.0
APP000079,65.4,22098.0,2.0,604.0,1.0,3958.0,0.179,0.075,0,0,1,1,0.6388308977035491,0.09508160920137895,0.05,0.5527272727272727,0.03333333333333333,0.0329460096260346,0.03034580098800282,0.08089887640449438,0.0,0.0,1.0
APP000080,76.9,15810.0,6.9,684.0,0.5,26334.0,1.666,0.302,0,0,1,0,0.7588726513569938,0.06238593170721562,0.17250000000000001,0.6981818181818182,0.016666666666666666,0.25825160601727853,0.2926958362738179,0.3359550561797753,0.0,0.0,1.0
APP000081,60.1,65248.0,4.0,597.0,0.4,22951.0,0.352,0.623,0,2,1,0,0.5835073068893528,0.3194484164331137,0.1,0.54,0.013333333333333334,0.22418792919427272,0.060868031051517286,0.6966292134831461,0.0,1.0,1.0
APP000082,64.6,70161.0,2.4,586.0,0.4,3737.0,0.053,0.18,0,0,0,0,0.6304801670146137,0.34499451432255784,0.06,0.52,0.013333333333333334,0.03072074430593874,0.008115737473535639,0.19887640449438201,0.0,0.0,0.0
APP000083,64.3,69950.0,2.8,503.0,4.3,29813.0,0.426,0.261,0,2,1,0,0.627348643006263,0.3438973788341246,0.06999999999999999,0.3690909090909091,0.14333333333333334,0.29328191392955677,0.07392378263937896,0.2898876404494382,0.0,1.0,1.0
APP000084,52.1,28410.0,5.7,849.0,7.2,4204.0,0.148,0.541,0,0,1,1,0.5,0.12790207935773376,0.14250000000000002,0.9981818181818182,0.24000000000000002,0.03542300179229514,0.024876499647141847,0.604494382022472,0.0,0.0,1.0
APP000085,77.3,89641.0,2.8,609.0,3.7,78844.0,0.88,0.686,0,1,0,0,0.7630480167014614,0.4462845584679621,0.06999999999999999,0.5618181818181818,0.12333333333333334,0.7869786737015929,0.15402258292166549,0.7674157303370787,0.0,0.5,0.0
APP000086,63.0,74912.0,6.9,548.0,0.2,8942.0,0.119,0.111,0,1,1,0,0.6137787056367432,0.36969826174220954,0.17250000000000001,0.4509090909090909,0.006666666666666667,0.08313027367742715,0.01976005645730416,0.12134831460674157,0.0,0.5,1.0
APP000087,70.2,49236.0,2.9,704.0,1.4,6511.0,0.132,0.332,0,0,1,0,0.6889352818371608,0.23619091197437592,0.0725,0.7345454545454545,0.04666666666666666,0.05865235515637272,0.022053634438955538,0.36966292134831463,0.0,0.0,1.0
APP000088,77.2,44618.0,1.3,667.0,5.8,14057.0,0.315,0.121,0,0,1,1,0.7620041753653445,0.2121787238910352,0.0325,0.6672727272727272,0.19333333333333333,0.1346335864027227,0.054340155257586446,0.13258426966292133,0.0,0.0,1.0
APP000089,76.7,49072.0,2.0,699.0,1.3,5357.0,0.109,0.473,1,0,1,0,0.75678496868476,0.23533816211606756,0.05,0.7254545454545455,0.043333333333333335,0.047032643937410634,0.017995765702187718,0.5280898876404494,1.0,0.0,1.0
APP000090,80.0,55011.0,7.3,709.0,4.0,3686.0,0.067,0.135,0,1,1,1,0.791231732776618,0.26621914631419674,0.1825,0.7436363636363637,0.13333333333333333,0.030207221539762772,0.01058574453069866,0.14831460674157304,0.0,0.5,1.0
APP000091,68.5,129359.0,1.0,749.0,22.9,7306.0,0.056,0.196,0,0,1,1,0.6711899791231732,0.6528060150063176,0.025,0.8163636363636364,0.7633333333333333,0.06665726886440985,0.008645024700070572,0.21685393258426966,0.0,0.0,1.0
APP000092,63.7,97024.0,16.8,554.0,2.1,10495.0,0.108,0.393,0,2,1,0,0.6210855949895616,0.48467390117461095,0.42000000000000004,0.4618181818181818,0.07,0.09876754536117768,0.017819336626676074,0.43820224719101125,0.0,1.0,1.0
APP000093,68.8,42036.0,9.2,663.0,11.4,2182.0,0.052,0.267,0,1,1,0,0.674321503131524,0.19875311331693696,0.22999999999999998,0.66,0.38,0.015063334474495036,0.007939308398023993,0.2966292134831461,0.0,0.5,1.0
APP000094,44.7,67722.0,14.2,508.0,15.4,5293.0,0.078,0.305,0,0,1,0,0.42275574112734865,0.3323124600273504,0.355,0.3781818181818182,0.5133333333333333,0.046388223211229034,0.012526464361326746,0.3393258426966292,0.0,0.0,1.0
APP000095,48.3,25315.0,1.6,622.0,0.4,38888.0,1.536,0.466,0,1,1,0,0.46033402922755734,0.111809025629293,0.04,0.5854545454545454,0.013333333333333334,0.38465875908733915,0.26976005645730416,0.5202247191011237,0.0,0.5,1.0
APP000096,50.2,75966.0,1.2,710.0,0.3,9851.0,0.13,0.223,1,0,1,0,0.4801670146137787,0.375178739490118,0.03,0.7454545454545455,0.01,0.09228306180397527,0.02170077628793225,0.24719101123595505,1.0,0.0,1.0
APP000097,55.0,29777.0,4.9,569.0,9.8,1851.0,0.062,0.133,0,1,1,0,0.5302713987473904,0.1350100614083892,0.12250000000000001,0.4890909090909091,0.3266666666666667,0.011730471031274543,0.009703599153140438,0.14606741573033707,0.0,0.5,1.0
APP000098,76.0,74173.0,0.3,850.0,8.3,9921.0,0.134,0.432,0,1,0,1,0.7494780793319415,0.3658556876855641,0.0075,1.0,0.27666666666666667,0.09298789697323641,0.02240649258997883,0.4820224719101123,0.0,0.5,0.0
APP000099,56.4,196131.0,13.0,652.0,1.8,12730.0,0.065,0.845,0,0,1,1,0.5448851774530271,1.0,0.325,0.64,0.060000000000000005,0.12127192540830095,0.010232886379675371,0.946067415730337,0.0,0.0,1.0
APP000100,64.3,49072.0,1.4,487.0,5.2,9788.0,0.199,0.428,0,1,1,0,0.627348643006263,0.23533816211606756,0.034999999999999996,0.34,0.17333333333333334,0.09164871015164025,0.03387438249823571,0.47752808988764045,0.0,0.5,1.0
APP000101,89.5,196131.0,1.4,713.0,0.6,17166.0,0.088,0.387,0,1,1,1,0.8903966597077244,1.0,0.034999999999999996,0.7509090909090909,0.02,0.1659383369917635,0.014290755116443187,0.4314606741573034,0.0,0.5,1.0
APP000102,64.7,65800.0,1.5,850.0,26.1,8093.0,0.123,0.236,1,1,1,0,0.6315240083507307,0.32231864766351737,0.0375,1.0,0.87,0.07458162998167428,0.02046577275935074,0.26179775280898876,1.0,0.5,1.0
APP000103,81.1,31264.0,2.0,449.0,10.1,20180.0,0.645,0.231,0,0,1,0,0.8027139874739039,0.14274200677000193,0.05,0.27090909090909093,0.33666666666666667,0.19628652556537848,0.11256175017642907,0.25617977528089886,0.0,0.0,1.0
APP000104,56.0,30416.0,0.5,714.0,27.3,9817.0,0.323,0.174,0,0,1,1,0.5407098121085595,0.13833266603923688,0.0125,0.7527272727272727,0.91,0.0919407132931913,0.0557515878616796,0.19213483146067414,0.0,0.0,1.0
APP000105,66.9,196131.0,8.7,561.0,0.2,10744.0,0.055,0.356,0,2,1,0,0.6544885177453028,1.0,0.21749999999999997,0.47454545454545455,0.006666666666666667,0.10127474474897799,0.008468595624558928,0.39662921348314606,0.0,1.0,1.0
APP000106,55.7,65893.0,11.0,645.0,4.5,12624.0,0.192,0.485,0,0,1,0,0.5375782881002088,0.3228022192295093,0.275,0.6272727272727273,0.15,0.12020460358056266,0.0326393789696542,0.5415730337078651,0.0,0.0,1.0
APP000107,64.9,34902.0,2.5,532.0,4.9,16120.0,0.462,0.229,0,0,1,0,0.6336116910229646,0.16165849448052455,0.0625,0.4218181818181818,0.16333333333333336,0.15540608574823286,0.08027522935779817,0.2539325842696629,0.0,0.0,1.0
